,# features,accuracy
0,4,100.0
1,6,100.0
2,8,96.66666666666667
3,10,96.66666666666667
4,12,100.0
5,15,96.66666666666667
6,17,100.0
7,19,96.66666666666667
8,21,96.66666666666667
9,23,96.66666666666667
10,26,93.33333333333333
11,28,100.0
12,30,96.66666666666667
13,32,90.0
14,34,90.0
15,4,100.0
16,6,100.0
17,8,100.0
18,10,100.0
19,12,96.66666666666667
20,15,100.0
21,17,100.0
22,19,93.33333333333333
23,21,93.33333333333333
24,23,96.66666666666667
25,26,93.33333333333333
26,28,100.0
27,30,96.66666666666667
28,32,83.33333333333333
29,34,100.0
30,4,100.0
31,6,100.0
32,8,100.0
33,10,100.0
34,12,100.0
35,15,93.33333333333333
36,17,100.0
37,19,100.0
38,21,96.66666666666667
39,23,100.0
40,26,90.0
41,28,96.66666666666667
42,30,96.66666666666667
43,32,90.0
44,34,86.66666666666667
45,4,100.0
46,6,100.0
47,8,100.0
48,10,100.0
49,12,100.0
50,15,93.33333333333333
51,17,96.66666666666667
52,19,96.66666666666667
53,21,96.66666666666667
54,23,96.66666666666667
55,26,93.33333333333333
56,28,96.66666666666667
57,30,96.66666666666667
58,32,100.0
59,34,86.66666666666667
60,4,100.0
61,6,100.0
62,8,96.66666666666667
63,10,100.0
64,12,100.0
65,15,100.0
66,17,100.0
67,19,100.0
68,21,96.66666666666667
69,23,96.66666666666667
70,26,96.66666666666667
71,28,96.66666666666667
72,30,96.66666666666667
73,32,83.33333333333333
74,34,100.0
75,4,100.0
76,6,100.0
77,8,100.0
78,10,100.0
79,12,100.0
80,15,96.66666666666667
81,17,100.0
82,19,100.0
83,21,96.66666666666667
84,23,90.0
85,26,93.33333333333333
86,28,93.33333333333333
87,30,93.33333333333333
88,32,96.66666666666667
89,34,90.0
90,4,100.0
91,6,100.0
92,8,100.0
93,10,100.0
94,12,100.0
95,15,93.33333333333333
96,17,100.0
97,19,100.0
98,21,93.33333333333333
99,23,96.66666666666667
100,26,100.0
101,28,93.33333333333333
102,30,90.0
103,32,93.33333333333333
104,34,90.0
105,4,100.0
106,6,100.0
107,8,96.66666666666667
108,10,96.66666666666667
109,12,100.0
110,15,100.0
111,17,100.0
112,19,100.0
113,21,96.66666666666667
114,23,96.66666666666667
115,26,96.66666666666667
116,28,93.33333333333333
117,30,90.0
118,32,93.33333333333333
119,34,100.0
120,4,100.0
121,6,100.0
122,8,100.0
123,10,100.0
124,12,100.0
125,15,96.66666666666667
126,17,100.0
127,19,96.66666666666667
128,21,93.33333333333333
129,23,93.33333333333333
130,26,96.66666666666667
131,28,96.66666666666667
132,30,90.0
133,32,96.66666666666667
134,34,93.33333333333333
135,4,100.0
136,6,100.0
137,8,100.0
138,10,100.0
139,12,100.0
140,15,96.66666666666667
141,17,93.33333333333333
142,19,100.0
143,21,96.66666666666667
144,23,100.0
145,26,93.33333333333333
146,28,93.33333333333333
147,30,86.66666666666667
148,32,90.0
149,34,96.66666666666667
