,# features,accuracy
0,4,96.66666666666667
1,6,100.0
2,8,96.66666666666667
3,10,100.0
4,12,100.0
5,15,93.33333333333333
6,17,96.66666666666667
7,19,96.66666666666667
8,21,93.33333333333333
9,23,93.33333333333333
10,26,83.33333333333333
11,28,90.0
12,30,86.66666666666667
13,32,80.0
14,34,73.33333333333333
15,4,96.66666666666667
16,6,100.0
17,8,100.0
18,10,100.0
19,12,93.33333333333333
20,15,93.33333333333333
21,17,90.0
22,19,93.33333333333333
23,21,93.33333333333333
24,23,90.0
25,26,93.33333333333333
26,28,80.0
27,30,83.33333333333333
28,32,76.66666666666667
29,34,83.33333333333333
30,4,96.66666666666667
31,6,100.0
32,8,96.66666666666667
33,10,100.0
34,12,100.0
35,15,93.33333333333333
36,17,86.66666666666667
37,19,90.0
38,21,83.33333333333333
39,23,90.0
40,26,93.33333333333333
41,28,86.66666666666667
42,30,73.33333333333333
43,32,76.66666666666667
44,34,80.0
45,4,96.66666666666667
46,6,100.0
47,8,93.33333333333333
48,10,96.66666666666667
49,12,96.66666666666667
50,15,93.33333333333333
51,17,100.0
52,19,90.0
53,21,90.0
54,23,90.0
55,26,80.0
56,28,93.33333333333333
57,30,100.0
58,32,83.33333333333333
59,34,73.33333333333333
60,4,96.66666666666667
61,6,100.0
62,8,96.66666666666667
63,10,100.0
64,12,96.66666666666667
65,15,96.66666666666667
66,17,96.66666666666667
67,19,96.66666666666667
68,21,86.66666666666667
69,23,100.0
70,26,93.33333333333333
71,28,90.0
72,30,90.0
73,32,83.33333333333333
74,34,80.0
75,4,96.66666666666667
76,6,96.66666666666667
77,8,93.33333333333333
78,10,100.0
79,12,96.66666666666667
80,15,96.66666666666667
81,17,100.0
82,19,90.0
83,21,96.66666666666667
84,23,83.33333333333333
85,26,90.0
86,28,86.66666666666667
87,30,93.33333333333333
88,32,96.66666666666667
89,34,86.66666666666667
90,4,96.66666666666667
91,6,100.0
92,8,100.0
93,10,100.0
94,12,100.0
95,15,93.33333333333333
96,17,100.0
97,19,100.0
98,21,96.66666666666667
99,23,86.66666666666667
100,26,93.33333333333333
101,28,83.33333333333333
102,30,83.33333333333333
103,32,83.33333333333333
104,34,80.0
105,4,96.66666666666667
106,6,100.0
107,8,96.66666666666667
108,10,93.33333333333333
109,12,96.66666666666667
110,15,100.0
111,17,100.0
112,19,93.33333333333333
113,21,93.33333333333333
114,23,100.0
115,26,90.0
116,28,93.33333333333333
117,30,86.66666666666667
118,32,83.33333333333333
119,34,83.33333333333333
120,4,96.66666666666667
121,6,100.0
122,8,100.0
123,10,96.66666666666667
124,12,100.0
125,15,100.0
126,17,93.33333333333333
127,19,100.0
128,21,93.33333333333333
129,23,86.66666666666667
130,26,86.66666666666667
131,28,83.33333333333333
132,30,83.33333333333333
133,32,86.66666666666667
134,34,83.33333333333333
135,4,96.66666666666667
136,6,100.0
137,8,93.33333333333333
138,10,96.66666666666667
139,12,100.0
140,15,96.66666666666667
141,17,90.0
142,19,86.66666666666667
143,21,93.33333333333333
144,23,93.33333333333333
145,26,73.33333333333333
146,28,90.0
147,30,93.33333333333333
148,32,80.0
149,34,83.33333333333333
