,# features,accuracy
0,4,100.0
1,6,100.0
2,8,100.0
3,10,100.0
4,12,100.0
5,15,96.66666666666667
6,17,100.0
7,19,96.66666666666667
8,21,96.66666666666667
9,23,96.66666666666667
10,26,100.0
11,28,93.33333333333333
12,30,96.66666666666667
13,32,100.0
14,34,96.66666666666667
15,4,100.0
16,6,96.66666666666667
17,8,96.66666666666667
18,10,100.0
19,12,96.66666666666667
20,15,93.33333333333333
21,17,100.0
22,19,100.0
23,21,96.66666666666667
24,23,100.0
25,26,96.66666666666667
26,28,96.66666666666667
27,30,96.66666666666667
28,32,100.0
29,34,96.66666666666667
30,4,100.0
31,6,96.66666666666667
32,8,96.66666666666667
33,10,100.0
34,12,100.0
35,15,96.66666666666667
36,17,96.66666666666667
37,19,93.33333333333333
38,21,96.66666666666667
39,23,100.0
40,26,93.33333333333333
41,28,100.0
42,30,96.66666666666667
43,32,100.0
44,34,100.0
45,4,100.0
46,6,96.66666666666667
47,8,83.33333333333333
48,10,100.0
49,12,100.0
50,15,96.66666666666667
51,17,96.66666666666667
52,19,100.0
53,21,93.33333333333333
54,23,93.33333333333333
55,26,100.0
56,28,100.0
57,30,96.66666666666667
58,32,100.0
59,34,100.0
60,4,96.66666666666667
61,6,100.0
62,8,96.66666666666667
63,10,96.66666666666667
64,12,100.0
65,15,96.66666666666667
66,17,100.0
67,19,96.66666666666667
68,21,96.66666666666667
69,23,93.33333333333333
70,26,100.0
71,28,100.0
72,30,90.0
73,32,100.0
74,34,96.66666666666667
75,4,100.0
76,6,96.66666666666667
77,8,100.0
78,10,96.66666666666667
79,12,76.66666666666667
80,15,100.0
81,17,96.66666666666667
82,19,93.33333333333333
83,21,96.66666666666667
84,23,96.66666666666667
85,26,96.66666666666667
86,28,100.0
87,30,100.0
88,32,96.66666666666667
89,34,100.0
90,4,100.0
91,6,100.0
92,8,100.0
93,10,96.66666666666667
94,12,100.0
95,15,93.33333333333333
96,17,100.0
97,19,96.66666666666667
98,21,96.66666666666667
99,23,96.66666666666667
100,26,96.66666666666667
101,28,96.66666666666667
102,30,90.0
103,32,100.0
104,34,100.0
105,4,96.66666666666667
106,6,96.66666666666667
107,8,96.66666666666667
108,10,96.66666666666667
109,12,96.66666666666667
110,15,96.66666666666667
111,17,93.33333333333333
112,19,96.66666666666667
113,21,100.0
114,23,100.0
115,26,100.0
116,28,96.66666666666667
117,30,96.66666666666667
118,32,93.33333333333333
119,34,96.66666666666667
120,4,100.0
121,6,60.0
122,8,100.0
123,10,100.0
124,12,100.0
125,15,96.66666666666667
126,17,96.66666666666667
127,19,100.0
128,21,93.33333333333333
129,23,93.33333333333333
130,26,93.33333333333333
131,28,96.66666666666667
132,30,93.33333333333333
133,32,93.33333333333333
134,34,96.66666666666667
135,4,100.0
136,6,96.66666666666667
137,8,96.66666666666667
138,10,100.0
139,12,96.66666666666667
140,15,96.66666666666667
141,17,100.0
142,19,93.33333333333333
143,21,96.66666666666667
144,23,100.0
145,26,100.0
146,28,96.66666666666667
147,30,100.0
148,32,96.66666666666667
149,34,100.0
