,# features,accuracy
0,4,100.0
1,6,96.66666666666667
2,8,100.0
3,10,96.66666666666667
4,12,100.0
5,15,96.66666666666667
6,17,100.0
7,19,96.66666666666667
8,21,96.66666666666667
9,23,100.0
10,26,96.66666666666667
11,28,100.0
12,30,96.66666666666667
13,32,96.66666666666667
14,34,100.0
15,4,96.66666666666667
16,6,100.0
17,8,100.0
18,10,96.66666666666667
19,12,96.66666666666667
20,15,96.66666666666667
21,17,100.0
22,19,100.0
23,21,96.66666666666667
24,23,93.33333333333333
25,26,96.66666666666667
26,28,96.66666666666667
27,30,100.0
28,32,100.0
29,34,96.66666666666667
30,4,100.0
31,6,96.66666666666667
32,8,100.0
33,10,100.0
34,12,96.66666666666667
35,15,100.0
36,17,96.66666666666667
37,19,100.0
38,21,100.0
39,23,96.66666666666667
40,26,100.0
41,28,100.0
42,30,93.33333333333333
43,32,100.0
44,34,93.33333333333333
45,4,96.66666666666667
46,6,96.66666666666667
47,8,93.33333333333333
48,10,100.0
49,12,96.66666666666667
50,15,100.0
51,17,96.66666666666667
52,19,96.66666666666667
53,21,96.66666666666667
54,23,100.0
55,26,100.0
56,28,100.0
57,30,100.0
58,32,100.0
59,34,100.0
60,4,100.0
61,6,96.66666666666667
62,8,100.0
63,10,100.0
64,12,100.0
65,15,96.66666666666667
66,17,100.0
67,19,96.66666666666667
68,21,100.0
69,23,100.0
70,26,100.0
71,28,96.66666666666667
72,30,100.0
73,32,100.0
74,34,93.33333333333333
75,4,100.0
76,6,96.66666666666667
77,8,96.66666666666667
78,10,96.66666666666667
79,12,100.0
80,15,96.66666666666667
81,17,96.66666666666667
82,19,100.0
83,21,93.33333333333333
84,23,100.0
85,26,100.0
86,28,100.0
87,30,96.66666666666667
88,32,96.66666666666667
89,34,100.0
90,4,100.0
91,6,96.66666666666667
92,8,96.66666666666667
93,10,96.66666666666667
94,12,100.0
95,15,100.0
96,17,100.0
97,19,96.66666666666667
98,21,96.66666666666667
99,23,100.0
100,26,100.0
101,28,96.66666666666667
102,30,96.66666666666667
103,32,93.33333333333333
104,34,100.0
105,4,100.0
106,6,96.66666666666667
107,8,96.66666666666667
108,10,96.66666666666667
109,12,100.0
110,15,96.66666666666667
111,17,100.0
112,19,96.66666666666667
113,21,96.66666666666667
114,23,96.66666666666667
115,26,100.0
116,28,96.66666666666667
117,30,100.0
118,32,96.66666666666667
119,34,100.0
120,4,100.0
121,6,96.66666666666667
122,8,100.0
123,10,100.0
124,12,100.0
125,15,96.66666666666667
126,17,100.0
127,19,96.66666666666667
128,21,100.0
129,23,100.0
130,26,96.66666666666667
131,28,96.66666666666667
132,30,100.0
133,32,100.0
134,34,96.66666666666667
135,4,100.0
136,6,96.66666666666667
137,8,96.66666666666667
138,10,96.66666666666667
139,12,100.0
140,15,96.66666666666667
141,17,100.0
142,19,96.66666666666667
143,21,100.0
144,23,96.66666666666667
145,26,100.0
146,28,96.66666666666667
147,30,96.66666666666667
148,32,100.0
149,34,100.0
