,STG_acc,STG_feats,GINI_acc,GINI+STG_feats,DualSTG_feats,DualSTG_acc,Saved_communication,pred_emb,SFFS_acc,Epochs,STG_communication
0,0.86,10000,0.74,9037,9052,0.6,240,24,0.83,0,240
1,0.89,10000,1.0,6642,6884,0.93,240,24,0.78,10,240
2,1.0,10000,0.93,6226,6304,0.43,240,24,0.91,20,240
3,0.93,10000,1.0,5923,6011,0.85,240,24,0.76,30,240
4,1.0,9918,0.96,5739,5819,0.96,240,24,0.68,40,240
5,1.0,9666,1.0,5523,5614,0.88,240,24,0.82,50,240
6,1.0,9411,1.0,5441,5499,1.0,240,24,0.89,60,240
7,1.0,8917,1.0,5376,5363,1.0,240,24,0.83,70,240
8,1.0,8285,1.0,5226,5266,1.0,240,24,0.72,80,240
9,0.99,7499,1.0,5059,5164,1.0,240,24,0.72,90,240
10,1.0,6950,1.0,5008,5086,0.99,240,24,0.74,100,240
11,1.0,6444,1.0,4943,4987,0.97,240,24,0.9,110,240
12,0.82,5664,1.0,4850,4925,0.94,240,24,0.89,120,240
13,0.9,5155,1.0,4771,4791,1.0,240,24,0.86,130,240
14,0.98,4552,1.0,4690,4672,1.0,240,24,0.79,140,240
15,1.0,4077,0.99,4552,4517,1.0,240,24,0.72,150,240
16,1.0,3475,1.0,4455,4302,0.96,238,24,0.81,160,240
17,1.0,2922,1.0,4165,4098,0.98,228,21,0.88,170,240
18,1.0,2360,1.0,3889,3946,0.99,204,20,0.76,180,240
19,0.86,1870,1.0,3677,3677,0.99,200,20,0.83,190,240
