,STG_acc,STG_feats,GINI_acc,GINI+STG_feats,DualSTG_feats,DualSTG_acc,Saved_communication,pred_emb,SFFS_acc,Epochs,STG_communication
0,0.97075,3353,0.99675,2397,2354,0.9884999999999999,218,17,0.9475,0,240
1,0.997,2245,0.996,1878,1919,0.9924999999999999,153,11,0.7172499999999999,10,240
2,0.9965,1694,0.9924999999999999,1471,1574,0.99225,85,5,0.863,20,240
3,0.9984999999999999,1243,0.998,1185,1293,0.99475,50,5,0.8017500000000002,30,240
4,0.99675,934,0.99725,976,1047,0.996,35,2,0.78125,40,240
5,0.99875,741,0.9975,827,897,0.97525,20,2,0.79725,50,240
6,0.99725,605,0.99675,728,775,0.9975,20,2,0.7402499999999999,60,240
7,0.99825,548,0.9955,634,658,0.9964999999999999,20,2,0.7557499999999999,70,240
8,0.998,501,0.99575,548,547,0.997,24,3,0.83675,80,240
9,0.99725,478,0.9942500000000001,488,477,0.9957499999999999,26,2,0.79525,90,240
10,0.9982500000000001,438,0.9974999999999999,456,455,0.9977499999999999,20,2,0.8022500000000001,100,240
11,0.9984999999999999,412,0.9972500000000001,429,372,0.9955,20,2,0.77675,110,240
12,0.998,374,0.9922500000000001,382,320,0.9964999999999999,20,2,0.7957500000000001,120,240
13,0.9984999999999999,339,0.9964999999999999,366,294,0.998,20,2,0.74075,130,240
14,0.9975,327,0.996,341,280,0.9984999999999999,20,2,0.75525,140,240
15,0.996,302,0.9984999999999999,319,269,0.9907499999999999,20,2,0.7057499999999999,150,240
16,0.9964999999999999,285,0.98725,310,251,0.998,20,2,0.663,160,240
17,0.99825,272,0.9965,302,248,0.9990000000000001,20,2,0.69675,170,240
18,0.997,262,0.9962500000000001,290,244,0.998,20,2,0.6769999999999999,180,240
19,0.999,244,0.998,276,233,0.99825,20,2,0.64525,190,240
